company_name,company_url,programming_languages,frameworks,other_tech_stack,remote,origin,countries,cities
Triumph ,https://triumph.io,"[""TypeScript"", ""Ruby"", ""Elixir"", ""OCaml""]","[""React""]",[],true,https://rubyonremote.com,"[""US""]",[]
"Sessions, Inc.",https://www.sessionshealth.com,"[""Ruby""]","[""Ruby on Rails""]","[""PostgreSQL""]",true,https://rubyonremote.com,"[""US""]",[]
Missive,https://missiveapp.com,[],[],[],true,https://rubyonremote.com,"[""US"", ""CA"", ""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT"", ""AD"", ""AL"", ""BA"", ""BY"", ""CH"", ""FO"", ""GB"", ""GG"", ""GI"", ""IM"", ""IS"", ""JE"", ""LI"", ""MC"", ""MD"", ""ME"", ""MK"", ""NO"", ""RS"", ""RU"", ""SJ"", ""SM"", ""TR"", ""UA"", ""VA"", ""AG"", ""AI"", ""AW"", ""BB"", ""BL"", ""BM"", ""BQ"", ""BS"", ""BZ"", ""CR"", ""CU"", ""CW"", ""DM"", ""DO"", ""GD"", ""GL"", ""GT"", ""HN"", ""HT"", ""JM"", ""KN"", ""KY"", ""LC"", ""MS"", ""MX"", ""NI"", ""PA"", ""PM"", ""PR"", ""SV"", ""SX"", ""TC"", ""TT"", ""VC"", ""VG"", ""VI"", ""AR"", ""BO"", ""BR"", ""CL"", ""CO"", ""EC"", ""FK"", ""GY"", ""PE"", ""PY"", ""SR"", ""UY"", ""VE""]",[]
CodePath,https://www.codepath.org,"[""CSS"", ""Ruby""]","[""Django"", ""Ruby on Rails""]","[""PostgreSQL"", ""Docker"", ""Make""]",true,https://rubyonremote.com,"[""US"", ""CA"", ""GB"", ""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT"", ""AD"", ""AL"", ""BA"", ""BY"", ""CH"", ""FO"", ""GG"", ""GI"", ""IM"", ""IS"", ""JE"", ""LI"", ""MC"", ""MD"", ""ME"", ""MK"", ""NO"", ""RS"", ""RU"", ""SJ"", ""SM"", ""TR"", ""UA"", ""VA"", ""AG"", ""AI"", ""AW"", ""BB"", ""BL"", ""BM"", ""BQ"", ""BS"", ""BZ"", ""CR"", ""CU"", ""CW"", ""DM"", ""DO"", ""GD"", ""GL"", ""GT"", ""HN"", ""HT"", ""JM"", ""KN"", ""KY"", ""LC"", ""MS"", ""MX"", ""NI"", ""PA"", ""PM"", ""PR"", ""SV"", ""SX"", ""TC"", ""TT"", ""VC"", ""VG"", ""VI"", ""AR"", ""BO"", ""BR"", ""CL"", ""CO"", ""EC"", ""FK"", ""GY"", ""PE"", ""PY"", ""SR"", ""UY"", ""VE""]",[]
Booqable,https://booqable.com,"[""Ruby""]","[""React"", ""Ruby on Rails""]","[""PostgreSQL"", ""Make"", ""Heroku""]",true,https://rubyonremote.com,"[""GB"", ""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT"", ""AD"", ""AL"", ""BA"", ""BY"", ""CH"", ""FO"", ""GG"", ""GI"", ""IM"", ""IS"", ""JE"", ""LI"", ""MC"", ""MD"", ""ME"", ""MK"", ""NO"", ""RS"", ""RU"", ""SJ"", ""SM"", ""TR"", ""UA"", ""VA""]",[]
Koinly,https://koinly.io,"[""Go"", ""Ruby""]","[""Ruby on Rails""]","[""H2""]",true,https://rubyonremote.com,"[""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT"", ""AD"", ""AL"", ""BA"", ""BY"", ""CH"", ""FO"", ""GB"", ""GG"", ""GI"", ""IM"", ""IS"", ""JE"", ""LI"", ""MC"", ""MD"", ""ME"", ""MK"", ""NO"", ""RS"", ""RU"", ""SJ"", ""SM"", ""TR"", ""UA"", ""VA""]",[]
Instrumentl,http://instrumentl.com,"[""JavaScript"", ""HTML"", ""CSS"", ""SQL"", ""Go"", ""Ruby""]","[""Ruby on Rails""]","[""Make"", ""Tailwind""]",true,https://rubyonremote.com,"[""US"", ""CA""]",[]
Triumph ,https://triumph.io,"[""TypeScript"", ""Ruby"", ""Elixir"", ""OCaml""]","[""React""]",[],true,https://rubyonremote.com,"[""US""]",[]
"Sessions, Inc.",https://www.sessionshealth.com,"[""Ruby""]","[""Ruby on Rails""]","[""PostgreSQL""]",true,https://rubyonremote.com,"[""US""]",[]
Missive,https://missiveapp.com,[],[],[],true,https://rubyonremote.com,"[""US"", ""CA"", ""AT"", ""AX"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GF"", ""GP"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MF"", ""MQ"", ""MT"", ""NL"", ""PL"", ""PT"", ""RE"", ""RO"", ""SE"", ""SI"", ""SK"", ""YT"", ""AD"", ""AL"", ""BA"", ""BY"", ""CH"", ""FO"", ""GB"", ""GG"", ""GI"", ""IM"", ""IS"", ""JE"", ""LI"", ""MC"", ""MD"", ""ME"", ""MK"", ""NO"", ""RS"", ""RU"", ""SJ"", ""SM"", ""TR"", ""UA"", ""VA"", ""AG"", ""AI"", ""AW"", ""BB"", ""BL"", ""BM"", ""BQ"", ""BS"", ""BZ"", ""CR"", ""CU"", ""CW"", ""DM"", ""DO"", ""GD"", ""GL"", ""GT"", ""HN"", ""HT"", ""JM"", ""KN"", ""KY"", ""LC"", ""MS"", ""MX"", ""NI"", ""PA"", ""PM"", ""PR"", ""SV"", ""SX"", ""TC"", ""TT"", ""VC"", ""VG"", ""VI"", ""AR"", ""BO"", ""BR"", ""CL"", ""CO"", ""EC"", ""FK"", ""GY"", ""PE"", ""PY"", ""SR"", ""UY"", ""VE""]",[]
